"Playa Playa", 1, 426, 1
"Devil's Pie", 1, 321, 2
"Left & Right (Featuring Method Man And Redman)", 1, 286, 3
"Brown Sugar", 2, 263, 1
"Alright", 2, 313, 2
"Jonz In My Bonz", 2, 356, 3
"Rude to Rile", 3, 209, 2
"Working Poor", 3, 196, 3
"Lost Ones", 4, 333, 2
"Ex Factor", 4, 326, 3
"To Zion", 4, 369, 4
"Bird Flu", 5, 204, 2
"Boyz", 5, 207, 3
"Jimmy", 5, 209, 4
"Hussel (feat. Afrikan Boy)", 5, 265, 5
